song name, artist, album, genre, link
20 min,Lil Uzi Vert,Luv is Rage 3,Rap,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng?si=dhj2nfU-TN-RWjv3rd8LVA
Myron ,Lil Uzi Vert,Eternal Atake (Deluxe),Rap,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ?si=Mbn0mo8MQLmCE361-kXS-Q
P2,Lil Uzi Vert,Eternal Atake,Rap,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5?si=mRyHFnRiSkC3aiwmEIHl-g
Closer,The Chainsmokers,Closer,Pop,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw?si=UPQl2GQPSliYbwy4xCE_jw
Don’t Let Me Down,The Chainsmokers,Don’t Let Me Down,Pop,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK?si=bbIV4bOMTCKvSQAl0cda2A
Roses,The Chainsmokers,Roses,Pop,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z?si=ZVmjTXXeQq2r53sbfU2I3w
This Feeling,The Chainsmokers,Sick Boy ,Pop,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl?si=KgKVGFJdSz2Jw0qdoUbasQ
Paris,The Chainsmokers,Memories...Do Not Open,Pop,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG?si=r7TlGcgmQSqgZ6-eUpUfVw
UCLA ,R.L Grimes,NOVA,House,https://open.spotify.com/track/3OaunNUlXXs5e2PXtNAzzG?si=zp7VB8PASs6FiV9I42GEhA
hot girl bummer,blackbear,everything means nothing,Emo Rap / Pop,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9?si=NyvIf7R2Q0iTDd_HppKd7A
idfc,blackbear,deadroses,Emo Rap / Pop,https://open.spotify.com/track/6y6jbcPG4Yn3Du4moXaenr?si=_RxKLI2dSkWHloVT-xr4sw
do re mi,blackbear,digital druglord,Emo Rap / Pop,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY?si=Vy5-slJISnCMkn0-T8b7zg
me & ur ghost,blackbear,everything means nothing,Emo Rap / Pop,https://open.spotify.com/track/38KsRHYE10bG0paU78gL9r?si=5-9za_JLSpmFlhdWyXlA0g
Sorry,Justin Bieber,Purpose (Deluxe),Pop,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF?si=4AZOLJmFTQGvxQ_z6zlz6w
Love Yourself,Justin Bieber,Purpose (Deluxe),Pop,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0?si=xA4YYH1eRY6LVrLjH8Hbgg
Monster,Justin Bieber (with Shawn Mendes),Monster (with Shawn Mendes),Pop,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1?si=ZO7_bEJjQ5qreQH7Kf6WOA
Holy,Justin Bieber,Holy,Pop,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy?si=O1JUId3yQRSPYsxtYKvbYQ
What Do You Mean?,Justin Bieber,Purpose (Deluxe),Pop,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs?si=9uazd7T4SQmfHQolrk5m7Q
Don't You Worry Child,Swedish House Mafia,Don't You Worry Child,House,https://open.spotify.com/track/2V65y3PX4DkRhy1djlxd9p?si=KjYqY8FdSGGAzAwSPrqYmw
Save the World,Swedish House Mafia,Save the World,House,https://open.spotify.com/track/65hRZOQkVjmBdusz1N7aOv?si=NVNjZ-RhSMaWHkVq2R0JEA
One,Swedish House Mafia,One,House,https://open.spotify.com/track/41KPpw0EZCytxNkmEMJVgr?si=4K-a1jZWSIOmxKEJWnr6Gg
lovely,Billy Eilish (with Khalid),lovely (with Khalid),Pop,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4?si=c3DBQzkpSAifW_XbqwtExQ
bad guy,Billy Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Pop,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m?si=dFH5WvkqR3Wkes47Lma1qQ
when the party's over,Billy Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Pop,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I?si=Uj9X_ox9RWeFDHuBXbokNg
everything i wanted,Billy Eilish,everything i wanted,Pop,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ?si=XSZKz4WGR0yiGGyI5MGqgQ
God's Plan,Drake,Scorpion,Rap / Hip-Hop,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn?si=jKTS7moSR3e1ldJ8_4LGXg
One Dance ,Drake,Views,Rap / Hip-Hop,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0?si=AK3toKL1QGK7N-MhamzyOA
Nonstop ,Drake,Scorpion,Rap / Hip-Hop,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct?si=MzLidxVeTySWN56SsqcL0g
Toosie Slide ,Drake,Dark Lane Demo Tapes,Rap / Hip-Hop,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA?si=k3o3A6SMT9yoB4hbfWgqqQ
Laugh Now Cry Later,Drake,Laugh Now Cry Later (feat. Lil Durk),Rap / Hip-Hop,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI?si=JegA9fr4Rl6LUBiX6T067A
Chicago Freestyle,Drake,Dark Lane Demo Tapes,Rap / Hip-Hop,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B?si=_19y8X7FR6eWRIRdeVfifA
Perfect,Ed Sheeran,Divide (Deluxe),Pop,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v?si=Z7h1aMsbQcWKTgUWxF5Quw
Shape of You,Ed Sheeran,Divide (Deluxe),Pop,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3?si=KV2kxOhaQ3yFoxC3mx7ubA
Photograph,Ed Sheeran,x (Deluxe),Pop,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy?si=SxhVzB-iRu-R8OgTnUh-YQ
Thinking out Loud,Ed Sheeran,x (Deluxe),Pop,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg?si=e20JwECPRmukSPXvfE8flQ
I Don't Care,Ed Sheeran (with Justin Bieber),No.6 Collaborations Project,Pop,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9?si=mg38Jm-TTIO8wO_04SXBWg
Beautiful People,Ed Sheeran (with Khalid),No.6 Collaborations Project,Pop,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv?si=TL8xEgNOT1yM_DkDvmLmGg
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,Rap,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2?si=QhKU8mXcQDaM8P_dbTTlOg
